Aasta,Koguheide (kt CO2 ekv),Energeetika (kt CO2 ekv),Energeetika osatähtsus,Koguheide maakasutuseta (kt CO2 ekv),Energeetika osatähtsus maakasutuseta,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,38085.75,37015.87,97.19086996,41045.49,90.18255407,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,34288.70,33173.95,96.74891543,37099.98,89.41768897,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,25372.48,24018.36,94.66306363,27159.79,88.4335387,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,18797.88,19258.33,102.4494807,21714.30,88.68962255,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,19911.63,19673.84,98.80576918,22223.27,88.52809175,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,17774.29,17867.11,100.5221934,20273.77,88.12915492,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,18351.11,18822.54,102.5689251,21180.71,88.86640097,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,17833.69,18284.56,102.5282334,20759.07,88.07987523,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,15638.57,16454.02,105.2143818,19021.44,86.50249279,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,14906.16,15512.13,104.0652083,17850.09,86.90223939,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,13711.02,15106.21,110.1756533,17495.87,86.34157262,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,13935.35,15489.60,111.1532392,17933.88,86.37057037,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,13650.08,15147.82,110.9723313,17342.07,87.3472418,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,14346.67,17004.22,118.5237667,19284.11,88.17736214,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,15579.20,17026.36,109.2890163,19482.32,87.39387215,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,18096.99,16835.65,93.03012853,19257.08,87.42578314,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,16396.01,16155.64,98.53395816,18598.88,86.86347804,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,19842.84,19525.00,98.39826146,22206.85,87.92333833,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,16312.33,17351.51,106.3705066,20083.66,86.39614856,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,13257.33,14455.50,109.0377953,16661.56,86.75955847,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,16775.09,18935.07,112.8761204,21218.19,89.2398172,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,16544.18,18901.11,114.2462558,21286.17,88.79526141,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,16060.78,17422.80,108.480436,20114.88,86.61646709,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,18449.54,19236.87,104.267467,22019.84,87.36152298,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,19423.37,18676.60,96.1553086,21176.38,88.19542808,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,15513.35,15848.27,102.1589188,18139.32,87.36969197,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,16950.74,17589.63,103.7690848,19808.93,88.79643724,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,19120.24,18677.82,97.6861478,21066.44,88.66152754,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,19633.99,17852.16,90.9247495,20206.36,88.3491955,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,13983.50,12277.72,87.80147032,14699.12,83.52693937,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,9440.42,#DIV/0!,11582.84,81.50350001,,,,,,,,,,,,,,,,,,,,,,,,,,